smiles,smarts,mol_size,num_matches
Br,*-Br,2,1769
C,*-C,2,454797
C,*=C,2,55797
C,*#C,2,1401
Cl,*-Cl,2,5847
F,*-F,2,7969
I,*-I,2,414
N,*-N,2,87923
N,*=N,2,3812
N,*#N,2,1114
O,*-O,2,108138
O,*=O,2,53811
S,*=S,2,5620
S,*-S,2,9942
[C-],*#[C-],2,1
[N-],*=[N-],2,19
[O-],*-[O-],2,1226
[Se],*=[Se],2,2
C,*-C=*,3,115154
C,*-C-*,3,456745
C,*-C(-*)=*,4,49566
C,*-C(-*)-*,4,118114
C,*-C(-*)(-*)-*,5,14501
N,*-N-*,3,57506
N,*-N(-*)-*,4,12279
O,*-O-*,3,34833
c,*:c(:*):*,4,22199
c,*:c:*,3,342109
c,*-c(:*):*,4,108832
n,*:n:*,3,30514
cc,*-c(:*):c:*,5,199651
cc,*:c:c:*,4,341001
cc,*-c(:*):c(-*):*,6,30320
cc,*:c:c(:*):*,5,74870
cc,*:c(:*):c(:*):*,6,11305
CC,*-C-C,3,421453
CC,*-C-C=*,4,76238
CC,*-C-C(-*)=*,5,61067
CC,*=C-C,3,59086
CC,*-C-C(-*)-*,5,326815
CC,*-C-C-*,4,419743
CC,*-C(-*)-C,4,112502
CC,*-C(-*)-C=*,5,30687
CC,*-C(=*)-C,4,37804
CC,*-C(-*)(-*)-C,5,13348
CC,*-C(-*)-C(-*)(-*)-*,7,21468
CC,*-C-C(-*)(-*)-*,6,48084
CC,*-C(=*)-C(-*)-*,6,26863
CC,*-C(-*)-C(-*)-*,6,73201
CCCC,*-C-C-C(-*)(-*)-C,7,50972
CCCC,*-C-C-C(-*)-C,6,301331
CCCC,*-C-C-C(-*)-C-*,7,578113
CCCC,*-C-C-C-C-*,6,337196
CCCC,*-C-C-C-C,5,344438
CCCC,*-C(-C)-C-C,5,225725
CCCC,*-C(-*)-C-C(-*)-C,7,70602
CCCC,*-C-C-C-C(-*)-*,7,287639
CCCC,*-C-C(-*)-C-C(-*)-*,8,243924
CCCC,*-C-C(-*)(-*)-C-C,7,64901
CCCC,*-C-C-C(-*)-C(-*)-*,8,265637
CCCC,*-C(-*)-C-C-C(-*)-*,8,63286
CCCC,*-C-C(-*)-C-C,6,289369
CCCC,*-C(-*)-C-C(=*)-C,7,10607
CCCC,*-C-C(-*)-C(-*)(-*)-C,8,48416
CCCC,*-C-C-C(-*)-C(-*)=*,8,40564
CCCC,*-C(=*)-C-C-C(-*)-*,8,16407
CCCC,*-C-C-C(-*)(-*)-C=*,8,13177
CCCC,*-C-C-C(-*)-C=*,7,49376
CCCC,*-C-C(-*)-C(-*)-C=*,8,43144
CCCC,*-C-C-C(=*)-C,6,20880
CCCC,*-C-C-C-C=*,6,59528
CCCC,*-C-C-C(-*)(-*)-C-*,8,138588
CCCC,*-C-C(-*)-C(=*)-C,7,21342
CCCC,*-C-C(-*)-C(-*)-C-*,8,296208
CCCC,*-C-C(=*)-C(-*)-C,7,12618
CCCC,*-C(-C)-C-C=*,6,22555
CCCC,*-C(-C=*)-C-C,6,40856
CCCC,*-C-C(-*)-C-C(-*)=*,8,33041
CCCC,*-C(-*)-C-C-C,6,239593
CCCC,*-C-C(-*)-C-C=*,7,45103
CCCC,*-C-C-C(=*)-C(-*)-*,8,13523
CCCC,*-C(-C)-C(-*)(-*)-C,7,20414
CCCC,*-C-C(-*)(-*)-C(-*)-C,8,58680
CCCC,*-C(-*)-C(-*)-C(=*)-C,8,11334
CCCC,*-C(-*)-C-C-C=*,7,24690
CCCC,*-C-C(=*)-C-C,6,12497
CCCC,*-C(=*)-C-C(-*)-C,7,18187
CCCC,*-C(-*)-C(-*)-C-C=*,8,19469
CCCC,*-C-C(-*)(-*)-C-C=*,8,10466
CCCC,*-C(-*)-C-C(-*)(-*)-C,8,22943
CCCC,*-C-C(-*)-C(-*)-C,7,276050
CCCC,*-C-C(=*)-C(-*)-C-*,8,27274
CCCC,*-C(-*)-C(-*)-C-C,7,225495
CCCC,*-C(-*)(-C=*)-C-C,7,10167
CCCC,*-C-C-C-C(-*)=*,7,44623
CCCC,*-C(-*)(-C)-C-C,6,38555
CCCC,*-C(-*)-C-C(-*)-C=*,8,20570
CCCC,*=C(-C)-C-C,5,15510
CCCC,*-C(-C)-C(-*)-C=*,7,20844
CCCC,*-C(-C)-C-C(-*)(-*)-*,8,22452
CCCC,*-C(-C)-C(-*)-C,6,66432
CCCC,*=C-C-C-C,5,49158
CCCC,*-C(-C)-C(=*)-C,6,9496
CCCC,*-C(-*)(-*)-C-C-C,7,43082
CCCC,*-C(-*)-C(-*)-C(-*)-C,8,70065
CCCC,*-C-C-C(=*)-C-*,7,26133
CCCC,*-C-C-C-C(-*)(-*)-*,8,49626
CCCC,*-C(=*)-C(-*)-C(-*)-C,8,17174
CCCC,*-C-C(=*)-C-C(-*)-*,8,14023
CCCC,*-C(-*)-C(=*)-C-C,7,10196
c1ccccc1,*-c1:c:c:c:c:c:1-*,8,23306
c1ccccc1,*-c1:c:c:c:c:c:1,7,76411
c1ccccc1,*-c1:c:c:c(-*):c:c:1,8,18831
c1ccccc1,*:c1:c:c:c:c:c:1:*,8,10338
c1ccccc1,*-c1:c:c:c:c(-*):c:1,8,21753
CCN,*-C-C(-*)-N,5,30603
CCN,*-C(-*)-C-N,5,17633
CCN,*-C-C-N(-*)-*,6,29890
CCN,*-C-C-N,4,66091
CCN,*-C-C-N-*,5,97569
CCN,*-N-C-C=*,5,11957
CCN,*-N(-*)-C-C,5,27725
CCN,*-N-C-C,4,86784
CCN,*-N-C(-*)-C,5,19278
CCN,*-C-C(-*)-N-*,6,36056
CCN,*-C-C(-*)-N(-*)-*,7,9641
CCN,*-C(-C)-N,4,16514
CCN,*-N-C(=*)-C,5,15970
